"IPI Accession"	"IPI Description"	"Main Class"	Classification	"Protein coding"	"Phobius TM"	"Phobius SP"	"Phobius Topology"	"SOSUI TM"	"SOSUI TOPOLOGY"	"TMHMM TM"	"TMHMM Topology"
IPI00027410	"GP5 Platelet glycoprotein V precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n4-14c18/19o522-544i	1	507-529	1	o504-526i
IPI00027502	"GP9 Platelet glycoprotein IX precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n3-11c16/17o148-171i	1	134-156	1	i131-153o
IPI00165975	"ISLR2 Cysteine-rich flanking region, C-terminal domain containing protein"	Miscellaneous	Other;LRRC	Valid	2	0	i36-57o630-658i	3	1-17,36-58,633-655	1	o631-653i
IPI00006556	"KIAA0644 hypothetical protein LOC9865"	Miscellaneous	Other;LRRC	Invalid	1	Y	n9-19c23/24o697-722i	1	673-695	1	o674-696i
IPI00465325	"LINGO1 leucine-rich repeat neuronal 6A"	Miscellaneous	Other;LRRC	Valid	1	Y	n19-31c36/37o557-582i	1	522-544	1	o524-546i
IPI00001120	"LINGO2 CDNA FLJ31810 fis, clone NT2RI2009289, weakly similar to CARBOXYPEPTIDASE N 83 KD CHAIN"	Miscellaneous	Other;LRRC	Valid	1	Y	n12-22c27/28o541-566i	1	514-536	1	o516-538i
IPI00376131	"LINGO3 Similar to Leucine rich repeat neuronal 6C"	Miscellaneous	Other;LRRC	Valid	1	0	o608-633i	2	80-102,603-625	1	o610-632i
IPI00258050	"LINGO4 Leucine-rich repeat neuronal protein 6D"	Miscellaneous	Other;LRRC	Valid	1	Y	n16-23c28/29o532-557i	1	506-528	1	o507-529i
IPI00470812	"LOC339977 Putative uncharacterized protein DKFZp781E21107"	Miscellaneous	Other;LRRC	Valid	2	0	o6-24i375-396o	2	3-25,375-397	2	o4-21i375-397o
IPI00457055	"LOC441617 similar to trophoblast glycoprotein"	Miscellaneous	Other;LRRC	Invalid	1	0	o504-524i	1	504-525	1	o502-524i
IPI00746770	"LOC728129 similar to leucine rich repeat containing 3"	Miscellaneous	Other;LRRC	Invalid	1	0	o221-243i	2	13-35,220-242	1	o221-243i
IPI00793456	"LRFN1 leucine rich repeat and fibronectin type III domain containing 1"	Miscellaneous	Other;LRRC	Valid	1	Y	n16-26c31/32o531-559i	2	12-33,504-526	1	o504-526i
IPI00008107	"LRFN2 Leucine-rich repeat and fibronectin type-III domain-containing protein 2 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n4-15c20/21o529-555i	1	511-533	1	o513-535i
IPI00001577	"LRFN3 Leucine-rich repeat and fibronectin type-III domain-containing protein 3 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n2-13c25/26o534-559i	2	14-33,511-533	1	o512-534i
IPI00172530	"LRFN4 Leucine-rich repeat and fibronectin type-III domain-containing protein 4 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n4-11c16/17o513-539i	1	501-523	1	o501-523i
IPI00871150	"LRFN5 Uncharacterized protein LRFN5"	Miscellaneous	Other;LRRC	Valid	1	Y	n4-13c17/18o524-550i	1	511-533	1	o511-533i
IPI00740074	"LRIG1 Leucine-rich repeat protein LRIG1"	Miscellaneous	Other;LRRC	Valid	1	Y	n17-28c33/34o793-816i	1	760-782	1	o760-782i
IPI00478892	"LRIG2 Leucine-rich repeats and immunoglobulin-like domains protein 2 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n24-35c39/40o803-829i	2	1-18,767-789	1	o767-789i
IPI00184265	"LRIG3 Isoform 1 of Leucine-rich repeats and immunoglobulin-like domains protein 3 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n10-21c26/27o805-831i	1	782-804	1	o779-801i
IPI00024059	"LRIT1 Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n3-14c21/22o527-552i	2	472-485,508-530	1	o509-531i
IPI00259519	"LRIT2 Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 precursor"	Miscellaneous	Other;LRRC	Invalid	1	Y	n4-15c19/20o463-485i	2	191-213,442-463	1	o444-466i
IPI00394850	"LRIT3 Isoform 1 of Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3"	Miscellaneous	Other;LRRC	Valid	1	0	o454-477i	1	457-479	1	o454-476i
IPI00152871	"LRRC15 Leucine-rich repeat-containing protein 15 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n7-16c21/22o539-564i	1	518-540	1	o518-540i
IPI00009653	"LRRC19 Leucine-rich repeat-containing protein 19 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n3-14c19/20o270-291i	1	255-277	1	i250-272o
IPI00455850	"LRRC24 Leucine-rich repeat-containing protein 24 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n5-16c20/21o406-426i	1	379-401	1	o384-406i
IPI00296351	"LRRC25 Leucine-rich repeat-containing protein 25 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n4-15c20/21o166-191i	1	138-160	1	o146-168i
IPI00737556	"LRRC26 similar to slit CG8355-PC, isoform C"	Miscellaneous	Other;LRRC	Valid	1	0	o284-310i	0	0	1	o286-308i
IPI00008377	"LRRC3 Leucine-rich repeat-containing protein 3 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n19-27c32/33o205-226i	1	172-194	1	o172-194i
IPI00030280	"LRRC32 Leucine-rich repeat-containing protein 32 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n5-12c17/18o628-651i	1	610-632	1	o612-634i
IPI00329367	"LRRC33 Leucine-rich repeat-containing protein 33 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n3-16c28/29o650-674i	1	621-643	1	o624-646i
IPI00746307	"LRRC38 similar to slit CG8355-PC, isoform C"	Miscellaneous	Other;LRRC	Valid	1	0	o340-363i	1	340-362	1	o341-363i
IPI00044336	"LRRC3B Leucine-rich repeat-containing protein 3B precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n15-28c40/41o204-225i	0	0	1	o163-185i
IPI00005516	"LRRC4 Leucine-rich repeat-containing protein 4 precursor"	Miscellaneous	Other;LRRC	Valid	2	0	i21-42o528-548i	2	17-39,526-548	2	i17-39o528-550i
IPI00300241	"LRRC4B Leucine-rich repeat-containing protein 4B precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n22-30c48/49o577-597i	2	527-549,576-597	1	o527-549i
IPI00014223	"LRRC4C Netrin-G1 ligand precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n26-37c44/45o528-548i	1	479-501	1	o482-504i
IPI00297687	"LRRC52 Leucine-rich repeat-containing protein 52 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n3-14c23/24o245-273i	1	225-247	1	i222-244o
IPI00140246	"LRRC55 leucine rich repeat containing 55"	Miscellaneous	Other;LRRC	Valid	1	0	o301-324i	1	302-324	1	o302-324i
IPI00396321	"LRRC59 Leucine-rich repeat-containing protein 59"	Miscellaneous	Other;LRRC	Valid	1	0	i244-265o	1	246-268	1	o244-266i
IPI00021485	"LRRN1 Leucine-rich repeat neuronal protein 1 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n6-17c25/26o631-653i	1	606-628	1	o606-628i
IPI00025256	"LRRN2 Leucine-rich repeat neuronal protein 2 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n3-14c19/20o630-652i	0	0	1	o612-634i
IPI00465126	"LRRN3 Leucine-rich repeat neuronal protein 3 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n10-17c22/23o628-649i	0	0	1	o605-627i
IPI00328716	"LRRTM1 Leucine-rich repeat transmembrane neuronal protein 1 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n3-14c23/24o428-450i	1	403-425	1	o405-427i
IPI00023576	"LRRTM2 Leucine-rich repeat transmembrane neuronal protein 2 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n14-24c33/34o423-444i	1	390-411	1	o390-412i
IPI00874128	"LRRTM3 66 kDa protein"	Miscellaneous	Other;LRRC	Valid	2	0	i12-34o424-446i	2	8-30,422-444	2	i7-29o424-446i
IPI00465323	"LRRTM4 Leucine-rich repeat transmembrane neuronal protein 4 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n14-27c32/33o425-447i	1	391-413	1	o393-415i
IPI00010227	"LRTM1 Isoform 1 of Leucine-rich repeat and transmembrane domain-containing protein 1 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n5-15c20/21o285-309i	1	268-290	1	o266-288i
IPI00167619	"LRTM2 Leucine-rich repeat and transmembrane domain-containing protein 2 precursor"	Miscellaneous	Other;LRRC	Valid	1	0	o307-340i	2	21-42,312-334	1	o312-334i
IPI00102543	"SLITRK1 SLIT and NTRK-like protein 1 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n2-13c21/22o619-643i	1	596-618	1	o600-622i
IPI00176104	"SLITRK2 Isoform 1 of SLIT and NTRK-like protein 2 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n2-13c21/22o618-644i	1	598-620	1	o601-623i
IPI00016467	"SLITRK3 SLIT and NTRK-like protein 3 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n15-25c30/31o655-679i	1	624-646	1	o627-649i
IPI00217146	"SLITRK4 SLIT and NTRK-like protein 4 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n2-13c18/19o617-643i	1	600-622	1	o603-625i
IPI00016679	"SLITRK5 SLIT and NTRK-like protein 5 precursor"	Miscellaneous	Other;LRRC	Valid	1	0	o665-688i	1	664-686	1	o666-688i
IPI00176398	"SLITRK6 Isoform 1 of SLIT and NTRK-like protein 6 precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n7-18c26/27o607-633i	1	582-604	1	o585-607i
IPI00009111	"TPBG Trophoblast glycoprotein precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n21-31c49/50o356-376i	1	307-328	1	o305-327i
IPI00395488	"VASN Vasorin precursor"	Miscellaneous	Other;LRRC	Valid	1	Y	n7-18c23/24o577-599i	1	551-573	1	o554-576i
IPI00002070	"LRRC8A Leucine-rich repeat-containing protein 8A"	Miscellaneous	Other;LRRC8	Valid	4	0	i27-45o124-144i269-287o322-344i	3	25-47,265-287,318-340	4	o26-45i124-146o263-285i320-342o
IPI00166036	"LRRC8B Leucine-rich repeat-containing protein 8B"	Miscellaneous	Other;LRRC8	Valid	4	0	i27-47o120-140i262-280o316-338i	3	22-44,263-285,305-327	4	o26-45i120-142o262-284i305-327o
IPI00152642	"LRRC8C Leucine-rich repeat-containing protein 8C"	Miscellaneous	Other;LRRC8	Valid	4	0	o30-48i126-146o257-279i321-342o	4	30-52,124-146,268-290,320-342	4	o26-48i126-148o262-284i319-341o
IPI00018213	"LRRC8D Leucine-rich repeat-containing protein 8D"	Miscellaneous	Other;LRRC8	Valid	3	0	i27-47o164-184i366-388o	3	31-53,310-332,366-388	3	i26-48o164-183i365-387o
IPI00419535	"LRRC8E Leucine-rich repeat-containing protein 8E"	Miscellaneous	Other;LRRC8	Valid	3	0	i27-47o117-137i313-335o	4	28-50,116-138,264-286,312-334	3	i26-48o117-139i312-334o
IPI00007041	"MAL Isoform A of Myelin and lymphocyte protein"	Miscellaneous	Other;MAL	Valid	4	0	o25-46i53-77o89-113i125-148o	4	19-41,56-78,94-116,126-148	4	o25-47i54-76o91-113i126-148o
IPI00056414	"MAL2 Protein MAL2"	Miscellaneous	Other;MAL	Valid	4	0	i35-54o66-91i103-126o146-171i	4	35-57,67-89,104-126,149-171	4	i32-54o69-91i103-125o148-170i
IPI00011439	"MALL MAL-like protein"	Miscellaneous	Other;MAL	Valid	4	0	o20-46i58-82o94-113i125-152o	3	23-45,60-82,126-148	4	i21-43o58-80i93-115o130-152i
IPI00102685	"MYADM Myeloid-associated differentiation marker"	Miscellaneous	Other;MAL	Valid	8	0	i38-61o67-89i101-124o136-153i165-190o202-226i238-261o294-320i	8	30-52,71-93,101-123,137-159,169-191,202-224,235-257,296-318	8	i36-58o68-90i103-125o135-157i170-192o207-226i239-261o298-320i
IPI00065182	"MYADML Myeloid-associated differentiation marker-like protein"	Miscellaneous	Other;MAL	Valid	5	Y	n3-10c15/16o25-48i60-76o96-114i126-149o161-184i	6	9-31,44-64,78-100,112-134,146-168,204-226	6	i9-31o46-68i81-103o113-135i147-169o206-228i
IPI00032485	"PLLP Plasmolipin"	Miscellaneous	Other;MAL	Valid	4	0	i37-55o67-88i100-121o141-162i	4	36-58,66-88,104-126,141-163	4	i37-56o66-88i100-122o142-164i
IPI00030362	"PLP2 Proteolipid protein 2"	Miscellaneous	Other;MAL	Valid	4	0	i26-45o51-73i85-104o110-130i	3	25-43,50-72,92-114	4	o25-42i49-68o83-105i112-134o
IPI00009673	"REEP1 Receptor expression-enhancing protein 1"	Miscellaneous	Other;REEP	Valid	3	0	o6-27i39-64o70-88i	2	1-23,47-69	2	o4-22i43-65o
IPI00604430	"REEP2 Isoform 2 of Receptor expression-enhancing protein 2"	Miscellaneous	Other;REEP	Valid	1	Y	n9-17c22/23o38-62i	1	25-47	1	i21-43o
IPI00164434	"REEP3 Isoform 1 of Receptor expression-enhancing protein 3"	Miscellaneous	Other;REEP	Valid	3	0	o6-24i36-55o61-80i	3	1-23,34-56,60-82	3	o4-26i38-55o59-81i
IPI00100674	"REEP4 Isoform 1 of Receptor expression-enhancing protein 4"	Miscellaneous	Other;REEP	Valid	1	Y	n9-17c22/23o38-62i	1	17-39	1	i21-43o
IPI00024670	"REEP5 Receptor expression-enhancing protein 5"	Miscellaneous	Other;REEP	Valid	2	0	i36-66o86-107i	2	37-59,96-118	2	i35-57o88-110i
IPI00646963	"REEP6 Uncharacterized protein REEP6"	Miscellaneous	Other;REEP	Valid	2	0	i35-65o85-106i	2	41-63,86-108	2	i43-65o85-107i
IPI00168265	"RTP1 Receptor-transporting protein 1"	Miscellaneous	Other;RTP	Valid	1	0	i234-257o	1	235-257	1	i233-255o
IPI00419776	"RTP2 Receptor-transporting protein 2"	Miscellaneous	Other;RTP	Valid	1	0	i197-217o	1	200-222	1	i197-219o
IPI00027781	"RTP3 Receptor-transporting protein 3"	Miscellaneous	Other;RTP	Valid	1	0	o211-228i	1	208-230	1	i211-228o
IPI00304691	"RTP4 Receptor-transporting protein 4"	Miscellaneous	Other;RTP	Valid	1	0	o225-244i	1	222-243	0	o
IPI00005129	"SCAMP1 Isoform 1 of Secretory carrier-associated membrane protein 1"	Miscellaneous	Other;SCAMP	Valid	4	0	i153-174o186-206i218-238o258-282i	4	152-174,180-202,216-238,261-282	4	i154-176o181-203i216-238o258-280i
IPI00218850	"SCAMP2 Secretory carrier-associated membrane protein 2"	Miscellaneous	Other;SCAMP	Valid	4	0	i152-174o186-203i215-239o259-283i	4	151-173,182-204,216-238,262-284	4	i152-174o184-203i216-238o261-283i
IPI00453116	"SCAMP3 secretory carrier membrane protein 3 isoform 1"	Miscellaneous	Other;SCAMP	Valid	4	0	i168-191o197-218i230-254o274-297i	4	171-192,197-219,238-260,276-297	4	i169-191o196-218i231-253o273-295i
IPI00056310	"SCAMP4 Isoform 1 of Secretory carrier-associated membrane protein 4"	Miscellaneous	Other;SCAMP	Valid	4	0	i44-64o70-90i102-126o146-169i	4	43-65,71-93,110-132,149-171	4	i43-65o71-90i103-125o147-169i
IPI00478460	"SCAMP5 Isoform 2 of Secretory carrier-associated membrane protein 5"	Miscellaneous	Other;SCAMP	Valid	4	0	i41-64o70-90i102-126o146-177i	4	44-66,69-91,115-137,158-180	4	i41-63o68-90i103-125o153-175i
IPI00232311	"- RcPTPNS1 (Fragment)"	Miscellaneous	Other;SIRP	Invalid	1	0	o270-292i	1	270-292	1	o270-292i
IPI00656113	"SIRPA Signal-regulatory protein alpha"	Miscellaneous	Other;SIRP	Valid	1	Y	n14-25c30/31o372-394i	1	342-364	1	o342-364i
IPI00375705	"SIRPB1 Signal-regulatory protein beta 1"	Miscellaneous	Other;SIRP	Valid	1	Y	n10-21c29/30o371-394i	2	15-37,337-359	1	o343-365i
IPI00552528	"SIRPB2 Signal-regulatory protein beta-2"	Miscellaneous	Other;SIRP	Valid	1	Y	n10-25c30/31o287-311i	2	19-41,258-280	1	o259-281i
IPI00032061	"SIRPG Isoform 1 of Signal regulatory protein gamma precursor"	Miscellaneous	Other;SIRP	Valid	1	Y	n12-23c28/29o363-383i	2	17-39,335-353	1	o333-355i
IPI00165658	"LOC648629 Uncharacterized protein ENSP00000382885"	Miscellaneous	Other;Synaptogyrin	Invalid	4	0	i26-47o70-91i103-127o147-166i	4	23-45,71-93,106-128,143-165	4	o27-49i70-92o102-124i144-166o
IPI00013940	"SYNGR1 cDNA FLJ76992, highly similar to Homo sapiens synaptogyrin 1a"	Miscellaneous	Other;Synaptogyrin	Valid	4	0	i30-49o69-92i104-128o148-169i	4	20-42,68-90,105-127,151-172	4	i27-44o70-92i105-127o147-169i
IPI00654744	"SYNGR2 SYNGR2 protein"	Miscellaneous	Other;Synaptogyrin	Valid	4	0	i26-47o70-92i104-132o144-162i	4	23-45,71-93,107-129,139-161	4	o26-48i69-91o104-126i147-169o
IPI00013947	"SYNGR3 Synaptogyrin-3"	Miscellaneous	Other;Synaptogyrin	Valid	4	0	i26-44o64-88i109-128o148-168i	4	26-47,68-90,105-127,146-168	4	i27-49o69-88i109-131o146-168i
IPI00294757	"SYNGR4 Synaptogyrin-4"	Miscellaneous	Other;Synaptogyrin	Valid	4	0	i24-42o62-86i107-126o146-165i	4	24-46,66-87,104-125,144-166	3	o64-86i107-128o143-165i
IPI00047169	"SYNPR Synaptoporin"	Miscellaneous	Other;Synaptophysin	Valid	3	Y	n4-15c20/21o81-103i115-136o180-198i	3	59-81,94-116,158-180	3	o61-83i95-116o156-178i
IPI00027770	"SYP Synaptophysin"	Miscellaneous	Other;Synaptophysin	Valid	3	0	o106-128i140-161o205-223i	4	13-35,102-124,139-161,199-221	3	o106-128i141-160o201-223i
IPI00009507	"SYPL1 Isoform 1 of Synaptophysin-like protein 1"	Miscellaneous	Other;Synaptophysin	Valid	3	0	o117-139i151-172o211-233i	4	33-55,119-141,149-171,197-219	3	i117-139o149-171i211-233o
IPI00477131	"SYPL2 Isoform 1 of Synaptophysin-like protein 2"	Miscellaneous	Other;Synaptophysin	Valid	4	0	i36-57o117-139i151-171o214-234i	4	31-52,116-138,150-172,208-230	4	i36-58o115-137i149-171o212-234i
IPI00009439	"SYT1 Synaptotagmin-1"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o59-80i	1	59-80	1	o58-80i
IPI00395601	"SYT10 Synaptotagmin-10"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o52-77i	1	54-76	1	i55-77o
IPI00027875	"SYT11 Synaptotagmin-11"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o16-40i	1	16-38	1	o15-37i
IPI00219472	"SYT12 Synaptotagmin XII"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	i56-78o	2	24-46,53-75	1	i53-75o
IPI00026638	"SYT13 Synaptotagmin-13"	Miscellaneous	Other;Synaptotagmin	Valid	0	Y	n3-14c22/23o	0	0	0	o
IPI00470681	"SYT14 SYT14 protein"	Miscellaneous	Other;Synaptotagmin	Valid	2	0	i53-74o534-553i	1	53-75	1	i53-75o
IPI00376930	"SYT15 Isoform 2 of Synaptotagmin-15"	Miscellaneous	Other;Synaptotagmin	Invalid	1	0	o6-29i	1	39929	1	i7-29o
IPI00219274	"SYT2 Synaptotagmin-2"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o63-84i	1	63-84	1	o62-84i
IPI00031100	"SYT3 Synaptotagmin-3"	Miscellaneous	Other;Synaptotagmin	Invalid	1	0	o51-76i	1	54-76	1	i51-73o
IPI00022735	"SYT4 Synaptotagmin-4"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o17-38i	1	15-37	1	o15-37i
IPI00011727	"SYT5 Synaptotagmin-5"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o30-51i	1	29-51	1	o29-51i
IPI00180851	"SYT6 Synaptotagmin-6"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o58-81i	1	58-80	1	o59-81i
IPI00788240	"SYT7 similar to synaptotagmin VII gamma isoform isoform 3"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o18-41i	1	15-37	2	o20-42i71-90o
IPI00853594	"SYT8 synaptotagmin VIII"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	o49-74i	1	51-72	1	o49-71i
IPI00386377	"SYT9 Synaptotagmin-9"	Miscellaneous	Other;Synaptotagmin	Valid	1	0	i50-75o	1	54-76	1	i50-72o
IPI00003391	"ODZ1 Teneurin-1"	Miscellaneous	Other;Teneurin	Valid	1	0	i318-343o	1	321-343	1	i318-340o
IPI00182194	"ODZ2 Teneurin-2"	Miscellaneous	Other;Teneurin	Valid	1	0	i375-400o	1	378-400	1	i375-397o
IPI00788121	"ODZ3 similar to odd Oz/ten-m homolog 3 isoform 4"	Miscellaneous	Other;Teneurin	Valid	1	0	i334-359o	1	337-359	1	i334-356o
IPI00737429	"ODZ4 Teneurin-4"	Miscellaneous	Other;Teneurin	Valid	1	0	i341-366o	1	344-366	1	i341-363o
IPI00879795	"- 33 kDa protein"	Miscellaneous	Other;Tetraspanin	Valid	3	0	o25-47i59-78o247-272i	3	13-35,56-78,246-268	3	i17-39o54-76i245-267o
IPI00298851	"CD151 CD151 antigen"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i21-43o55-80i92-115o222-245i	3	16-38,55-77,92-114	4	i20-42o57-79i92-114o222-244i
IPI00003400	"CD37 Leukocyte antigen CD37"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-36o56-80i87-108o242-267i	3	13-35,51-73,88-110	4	i13-38o58-80i87-109o244-266i
IPI00018307	"CD53 Leukocyte surface antigen CD53"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-36o48-69i81-106o182-206i	4	8-30,52-74,83-105,181-203	4	i13-35o50-72i84-106o182-204i
IPI00215998	"CD63 CD63 antigen"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-39o51-73i80-107o203-228i	4	12-34,52-74,83-105,202-224	4	i13-35o50-72i85-107o206-228i
IPI00657752	"CD81 Uncharacterized protein CD81"	Miscellaneous	Other;Tetraspanin	Valid	3	0	i96-122o128-152i240-264o	5	11-33,58-74,97-119,129-151,240-262	3	o100-122i129-151o242-264i
IPI00020446	"CD82 CD82 antigen"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-36o56-78i85-108o228-253i	4	11-33,49-71,86-108,226-248	4	i13-35o55-77i84-106o230-252i
IPI00215997	"CD9 CD9 antigen"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-35o55-82i89-111o195-221i	4	12-34,58-80,88-110,191-213	4	i13-35o60-82i89-111o195-217i
IPI00013928	"PRPH2 Peripherin-2"	Miscellaneous	Other;Tetraspanin	Valid	4	0	o20-41i62-81o101-122i255-275o	4	23-45,58-80,101-123,259-281	3	i21-43o100-122i253-275o
IPI00010342	"ROM1 Rod outer segment membrane protein 1"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i21-44o64-83i103-125o264-286i	3	20-42,56-78,102-124	4	i21-43o61-83i103-125o264-286i
IPI00030936	"TSPAN1 Tetraspanin-1"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-34o54-73i85-110o212-238i	5	13-35,54-75,85-107,113-126,214-236	4	i12-34o54-76i89-111o215-237i
IPI00296805	"TSPAN10 Tetraspanin-10"	Miscellaneous	Other;Tetraspanin	Valid	3	0	i78-102o122-144i156-178o	4	78-100,122-144,159-181,296-318	3	i80-102o122-144i156-178o
IPI00737952	"TSPAN11 similar to tetraspanin 11"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-41o61-84i93-115o220-244i	4	16-38,55-77,91-113,219-241	4	i21-43o58-80i93-115o222-244i
IPI00000737	"TSPAN12 Tetraspanin-12"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-35o55-83i90-115o225-250i	4	10-32,51-73,91-113,225-247	4	i13-35o55-77i90-112o228-250i
IPI00000735	"TSPAN13 Tetraspanin-13"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-40o46-68i75-100o168-188i	3	15-37,45-67,76-98	4	i13-35o45-67i74-93o165-187i
IPI00303059	"TSPAN14 Isoform 1 of Tetraspanin-14"	Miscellaneous	Other;Tetraspanin	Valid	4	0	o20-41i62-84o90-115i233-254o	4	19-41,60-82,92-114,234-256	4	i20-42o62-84i91-113o233-255i
IPI00000736	"TSPAN15 Tetraspanin-15"	Miscellaneous	Other;Tetraspanin	Valid	5	0	o24-47i59-82o94-116i210-227o233-256i	4	22-44,58-80,93-115,236-258	4	o22-44i57-79o94-116i235-257o
IPI00007734	"TSPAN16 Tetraspanin-16"	Miscellaneous	Other;Tetraspanin	Valid	3	0	i14-34o54-79i86-112o	3	14-36,50-72,91-113	3	i13-35o55-77i89-111o
IPI00025498	"TSPAN17 FLJ00016 protein (Fragment)"	Miscellaneous	Other;Tetraspanin	Valid	1	0	o255-276i	1	252-274	1	o254-276i
IPI00382955	"TSPAN18 Tetraspanin 18"	Miscellaneous	Other;Tetraspanin	Valid	3	0	i12-36o56-77i84-108o	4	11-33,50-72,85-107,133-155	3	i13-35o50-72i85-107o
IPI00083978	"TSPAN19 tetraspanin 19"	Miscellaneous	Other;Tetraspanin	Invalid	3	0	i12-36o56-78i85-108o	3	11-33,53-75,86-108	3	i12-34o56-78i85-107o
IPI00030938	"TSPAN2 Tetraspanin-2"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-34o54-75i87-111o188-214i	4	12-34,56-78,90-112,184-206	4	i13-35o55-77i89-111o188-210i
IPI00030941	"TSPAN3 Tetraspanin-3"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-36o48-71i83-107o212-235i	4	12-34,50-72,84-106,205-227	4	i13-35o50-72i85-107o212-234i
IPI00030418	"TSPAN31 Tetraspanin-31"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-33o45-68i75-100o174-194i	3	12-34,42-64,76-98	4	i12-34o44-66i73-92o174-193i
IPI00102599	"TSPAN32 tumor-suppressing subtransferable candidate 6 isoform 1"	Miscellaneous	Other;Tetraspanin	Valid	4	0	o49-74i95-119o125-148i232-258o	4	53-75,97-119,126-148,237-259	4	i50-72o95-117i124-146o236-258i
IPI00024174	"TSPAN4 Tetraspanin-4"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-36o56-76i83-107o202-223i	4	9-31,53-75,84-106,204-226	4	i12-34o54-76i83-105o202-224i
IPI00030914	"TSPAN5 Tetraspanin-5"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i20-41o61-84i96-115o235-258i	4	14-36,61-83,96-118,233-255	4	i20-42o62-84i93-115o235-257i
IPI00013449	"TSPAN6 Tetraspanin-6"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i21-42o62-80i92-114o211-233i	3	20-42,59-81,92-114	4	i20-42o57-79i92-114o211-233i
IPI00016600	"TSPAN7 Tetraspanin-7"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i20-40o60-78i90-112o215-241i	3	20-42,59-81,90-112	4	i17-39o59-78i90-112o215-237i
IPI00015872	"TSPAN8 Tetraspanin-8"	Miscellaneous	Other;Tetraspanin	Valid	4	0	i12-33o53-78i85-109o206-231i	4	14-36,51-73,86-108,202-224	4	i13-35o50-72i85-107o207-229i
IPI00880170	"TSPAN9 30 kDa protein"	Miscellaneous	Other;Tetraspanin	Valid	3	0	i12-36o56-76i83-108o	3	9-31,53-75,85-107	3	i12-34o54-76i83-105o
